,L_1_values,L_inf_values
0,4.153600783523192e-05,2.288039718054815e-06
1,4.6025733826020525e-05,2.290601527502957e-06
2,4.5955937667132215e-05,2.29109972140873e-06
3,4.588221095845239e-05,2.279289589383373e-06
4,4.592611420788042e-05,2.2886496017776277e-06
5,4.5965149969573284e-05,2.2855500264228545e-06
6,4.569274504173201e-05,2.2890412087724195e-06
7,4.5629219459471625e-05,2.2828871046044647e-06
8,4.5975436916816663e-05,2.288822962996548e-06
9,4.5761019499272596e-05,2.2448754173002727e-06
10,4.590441762306365e-05,2.279179815490842e-06
11,4.5911652499678795e-05,2.292792826283092e-06
12,4.590290642561606e-05,2.279507643089234e-06
13,4.5926142569437125e-05,2.2736460116065517e-06
14,4.574590470982308e-05,2.27603600488003e-06
15,4.5803214718971866e-05,2.285644357673393e-06
16,4.5671823342599655e-05,2.2310183800468546e-06
17,4.599960089593446e-05,2.2829854678721817e-06
18,4.556447947269463e-05,2.276825961742093e-06
19,4.576837351090479e-05,2.2445601243719506e-06
20,4.607224989999711e-05,2.2878798659589394e-06
21,4.5911473053966436e-05,2.2971473774770115e-06
22,4.5585087862809786e-05,2.2377167417405294e-06
23,4.573039993618864e-05,2.275775530710753e-06
24,4.5768197848465366e-05,2.2434274600826103e-06
25,4.583066612464601e-05,2.2519234314709206e-06
26,4.569822784502662e-05,2.243200835927632e-06
27,4.56178681412437e-05,2.276494076292427e-06
28,4.502544864322235e-05,2.197043757527413e-06
29,4.570555143039965e-05,2.289289027169339e-06
30,4.5645162439210135e-05,2.232904858709257e-06
31,4.5827762154978296e-05,2.241459252332259e-06
32,4.5779225095975486e-05,2.2452261350808973e-06
33,4.505171090209659e-05,2.1981904889062835e-06
34,4.5697419425166134e-05,2.2362427164554897e-06
35,4.561780723055302e-05,2.2785370960483984e-06
36,4.484643416263665e-05,2.180908467887884e-06
37,4.502536573579246e-05,2.1887909252476637e-06
38,4.5116866659633496e-05,2.2120537663863747e-06
39,4.5747432326488236e-05,2.2374621005132447e-06
40,4.482983572812641e-05,2.178041425186898e-06
41,4.5696194236498465e-05,2.236160656640648e-06
42,4.463326692388335e-05,2.1661600506548245e-06
43,4.5636662711801216e-05,2.2735035224532564e-06
44,4.5710465364164184e-05,2.237927143288892e-06
45,4.50075721610918e-05,2.193300617497798e-06
46,4.5671816098065716e-05,2.23092235535785e-06
47,4.525868740079896e-05,2.2097738240448304e-06
48,4.477454728422271e-05,2.1934033677371347e-06
49,4.567356473656807e-05,2.2371119670637782e-06
50,4.567442610079111e-05,2.284882047745774e-06
51,4.6025665718384993e-05,2.290455590512907e-06
52,4.596466302684463e-05,2.2855949226161896e-06
53,4.5969345323948005e-05,2.29045755019525e-06
54,4.5697463586202256e-05,2.2411729399100548e-06
55,4.5400646739965556e-05,2.225299542507743e-06
56,4.5338459152556605e-05,2.215196791913496e-06
57,4.574241021080329e-05,2.2429976599263254e-06
58,4.4749199649576285e-05,2.191862223718877e-06
59,4.5890602138827504e-05,2.255171484741822e-06
60,4.506011026923474e-05,2.2000030661726973e-06
61,4.556499328306039e-05,2.2749699131933482e-06
62,4.451694973515935e-05,2.1639917231118622e-06
63,4.556052404605939e-05,2.2373115920957506e-06
64,4.513059526023865e-05,2.2113474193296666e-06
65,4.5039602000065825e-05,2.197535068796419e-06
66,4.493050043941672e-05,2.1823444236911083e-06
67,4.438659578410364e-05,2.155818160291763e-06
68,4.446327980886791e-05,2.157435504238983e-06
69,4.58490719279265e-05,2.2522481498300934e-06
70,4.516823027564266e-05,2.2021402466996515e-06
71,4.4938633257123784e-05,2.183816636233477e-06
72,4.557894857757415e-05,2.2307106795182774e-06
73,4.604898299430956e-05,2.2927856909728426e-06
74,4.561853323226085e-05,2.221663970178774e-06
75,4.5254630804596326e-05,2.2107334710336067e-06
76,4.538261442426271e-05,2.219815689576218e-06
77,4.576814791047422e-05,2.2429883601696667e-06
78,4.569886459963083e-05,2.239942515422959e-06
79,4.5615525887081335e-05,2.2312746790538805e-06
80,4.57253200482587e-05,2.2296994093784e-06
81,4.4882223572237805e-05,2.1819352958213963e-06
82,4.602041799363466e-05,2.2836721342051486e-06
83,4.4697307344979364e-05,2.168012578683568e-06
84,4.569353037940857e-05,2.277742341233477e-06
85,4.5674306996881906e-05,2.2855177725595958e-06
86,4.454884604002365e-05,2.1537985074907673e-06
87,4.438156608725031e-05,2.1135072405833293e-06
88,4.5591356081933204e-05,2.2244002019697536e-06
89,4.477944982817902e-05,2.1912296150186655e-06
90,4.482979852605896e-05,2.178705838006034e-06
91,4.4740564033635066e-05,2.183612153309872e-06
92,4.5732440851412974e-05,2.248223513090712e-06
93,4.599719418592851e-05,2.288909017682924e-06
94,4.462984156894567e-05,2.163413313537619e-06
95,4.567436492908167e-05,2.2853613905199386e-06
96,4.5995005890697194e-05,2.2862917733466437e-06
97,4.583445581716253e-05,2.2518438666505635e-06
98,4.564927344624027e-05,2.22845327467462e-06
99,4.5220634750643605e-05,2.206079502702274e-06
100,4.5879441517542876e-05,2.2784305648417614e-06
101,4.453540452404009e-05,2.1581201115895895e-06
102,4.502255302648838e-05,2.197282723735207e-06
103,4.515041647491446e-05,2.17765249595665e-06
104,4.5175366005467945e-05,2.180886297833776e-06
105,4.5129605544553466e-05,2.2104484879725085e-06
106,4.451268562245008e-05,2.1663430844714754e-06
107,4.48459254224407e-05,2.173950029717035e-06
108,4.44357675450481e-05,2.148405531998355e-06
109,4.469628673225619e-05,2.1679196722353064e-06
110,4.4978577763591495e-05,2.172810971834372e-06
111,4.4947256528431264e-05,2.1721685755138315e-06
112,4.570443363356336e-05,2.234446265365884e-06
113,4.595274395713613e-05,2.2880917879861476e-06
114,4.575647908448464e-05,2.2876794944331964e-06
115,4.559134389223144e-05,2.225161359180059e-06
116,4.430819071557061e-05,2.0962949113646447e-06
117,4.4551138671567374e-05,2.159678325360991e-06
118,4.576013239204512e-05,2.238086929105473e-06
119,4.498530395987404e-05,2.1434524165012687e-06
120,4.4140505006427546e-05,2.09197819893284e-06
121,4.563662044584724e-05,2.2741005472728674e-06
122,4.47604367280135e-05,2.1921984452969356e-06
123,4.506949931600999e-05,2.147025672355803e-06
124,4.4495683985513166e-05,2.130170763461319e-06
125,4.4514160276702034e-05,2.159536941395488e-06
126,4.51470113275219e-05,2.1543995189122145e-06
127,4.5554429377846176e-05,2.222724231898704e-06
128,4.45108769406629e-05,2.1154162261023532e-06
129,4.5696645814319656e-05,2.2381202988755114e-06
130,4.5724587689026246e-05,2.2846991156077103e-06
131,4.462881329683813e-05,2.167134487819738e-06
132,4.5733114954656665e-05,2.279067080003868e-06
133,4.451668964547354e-05,2.1601419322914873e-06
134,4.5309322178794144e-05,2.203456347116513e-06
135,4.451574474640704e-05,2.1629308289900897e-06
136,4.484591533730534e-05,2.1705820078935593e-06
137,4.5612656113443554e-05,2.2311256864673126e-06
138,4.4412227417901515e-05,2.0873747935163077e-06
139,4.487587394085479e-05,2.1654818870107098e-06
140,4.5540987460400667e-05,2.2360484022066306e-06
141,4.439353034544307e-05,2.1008707725018437e-06
142,4.591650017317928e-05,2.2865736932458712e-06
143,4.599003433860941e-05,2.2914593150388093e-06
144,4.482990429028238e-05,2.183333976708698e-06
145,4.495699345017561e-05,2.1664237530386613e-06
146,4.462575301199133e-05,2.158592856370039e-06
147,4.5046962047849013e-05,2.1684981459767688e-06
148,4.454909325856621e-05,2.1127153457707667e-06
149,4.577833426696676e-05,2.2456260673677423e-06
150,4.441121166320153e-05,2.15611309463789e-06
151,4.465371897402581e-05,2.137299171098925e-06
152,4.511694462498671e-05,2.2121486882503575e-06
153,4.509107780444142e-05,2.2003496355318305e-06
154,4.500269283513914e-05,2.187066486606931e-06
155,4.576442964521595e-05,2.2502466576175546e-06
156,4.430564874988156e-05,2.092531087267852e-06
157,4.489802561583345e-05,2.182728726588874e-06
158,4.5092657222287986e-05,2.1617332430963936e-06
159,4.513929854621756e-05,2.194274734124645e-06
160,4.5324666928369954e-05,2.2196540201836585e-06
161,4.572531345403892e-05,2.226982367939414e-06
162,4.484332458633348e-05,2.179577295235888e-06
163,4.582739758811437e-05,2.237744704261733e-06
164,4.586144550491309e-05,2.2523885104088787e-06
165,4.434632334322703e-05,2.1162511552510143e-06
166,4.560654846019811e-05,2.2430596022358804e-06
167,4.5739238255896325e-05,2.289276289814857e-06
168,4.507216436288271e-05,2.1475898734424968e-06
169,4.567011477408442e-05,2.2304960383054955e-06
170,4.4355472972812226e-05,2.0987078445316716e-06
171,4.50766737809121e-05,2.1526065217293138e-06
172,4.4290107890065274e-05,2.1118737068782226e-06
173,4.5700112958498694e-05,2.236299523248591e-06
174,4.507306790711664e-05,2.15343088695433e-06
175,4.503662006638313e-05,2.1930764273560604e-06
176,4.4580906818516636e-05,2.1742865329608144e-06
177,4.461188037767213e-05,2.1295308999762208e-06
178,4.497543732759638e-05,2.166198464583498e-06
179,4.462809683667306e-05,2.174798044189151e-06
180,4.454533458672288e-05,2.148674240897166e-06
181,4.452800714095012e-05,2.1332379341497113e-06
182,4.452514168082443e-05,2.162966718190739e-06
183,4.570008751595205e-05,2.236278995507277e-06
184,4.4608000358188757e-05,2.1728641447842195e-06
185,4.509749024892195e-05,2.173284212685915e-06
186,4.5853237121681864e-05,2.2526800967977194e-06
187,4.4582710007011884e-05,2.1217329831360443e-06
188,4.422278496467774e-05,2.091987192192361e-06
189,4.5883830514984734e-05,2.279306653547135e-06
190,4.420100297871499e-05,2.0905958291265704e-06
191,4.48086158922091e-05,2.1164877748938204e-06
192,4.4469205495275775e-05,2.1036721451332467e-06
193,4.5653382816004e-05,2.2415411634936093e-06
194,4.451371114846998e-05,2.163376123614446e-06
195,4.4727725918409145e-05,2.1624455424762947e-06
196,4.564364982735131e-05,2.273828550691374e-06
197,4.4502434565196106e-05,2.163504646549695e-06
198,4.471773120890188e-05,2.1111457296087776e-06
199,4.442790342843904e-05,2.107178310404169e-06
200,4.5029375774912847e-05,2.1888609629553528e-06
201,4.4523670057389355e-05,2.1070774434444604e-06
202,4.506260891973296e-05,2.1986999424595215e-06
203,4.4580814844552825e-05,2.1769710182858158e-06
204,4.464173632568054e-05,2.1140745306503476e-06
205,4.479443976233742e-05,2.125841706120342e-06
206,4.512906688367076e-05,2.1503077510378038e-06
207,4.590425460533364e-05,2.25826042654703e-06
208,4.569271410985293e-05,2.2467103522620117e-06
209,4.4404830515596776e-05,2.1110740486932523e-06
210,4.458680114738583e-05,2.1633639525232915e-06
211,4.4529896220923524e-05,2.171374358953436e-06
212,4.501591316583114e-05,2.186882539849141e-06
213,4.4784533712788615e-05,2.177870400775927e-06
214,4.5103096443063366e-05,2.187371742105997e-06
215,4.4328776360619916e-05,2.098173968244314e-06
216,4.459163900072171e-05,2.16466462122561e-06
217,4.414050746353377e-05,2.0914653997870767e-06
218,4.583065597265202e-05,2.251956149849482e-06
219,4.4503495971557204e-05,2.1535071231781403e-06
220,4.557276042395405e-05,2.227130047303473e-06
221,4.4645798352735676e-05,2.164413490458043e-06
222,4.431859711918458e-05,2.09184244304459e-06
