,L_1_values,L_inf_values
0,2.3584680567727363e-05,7.315135519906239e-07
1,2.3593050076685683e-05,7.324482093560154e-07
2,2.3593359889382177e-05,7.345526023813592e-07
3,2.3593198194087606e-05,7.330387680377883e-07
4,2.3595021662081986e-05,7.329268635702708e-07
5,2.3591179142536883e-05,7.319785773464861e-07
6,2.3601974073877683e-05,7.335443790444523e-07
7,2.360353276187829e-05,7.335527057623762e-07
8,2.3609339417115985e-05,7.334064470142876e-07
9,2.3612947543839514e-05,7.334346867684599e-07
10,2.360339021181098e-05,7.327433359981233e-07
11,2.359355786522156e-05,7.328410300427633e-07
12,2.3579345477355405e-05,7.327905726965585e-07
13,2.358336163004197e-05,7.343635231728668e-07
14,2.3587946446501435e-05,7.359533610099102e-07
15,2.3595271331113722e-05,7.36874685980738e-07
16,2.3596888958597308e-05,7.36689115976173e-07
17,2.3599307233589947e-05,7.364193808625276e-07
18,2.361116386635039e-05,7.363220301438462e-07
19,2.362054592910566e-05,7.355021401910658e-07
20,2.3628759918382453e-05,7.347038552001243e-07
21,2.3639058957688058e-05,7.339055015611977e-07
22,2.3636171462568063e-05,7.324301909095114e-07
23,2.3612057169962016e-05,7.314506928881682e-07
24,2.359790085102285e-05,7.2915251706496e-07
25,2.359696466346723e-05,7.290064266660452e-07
26,2.3601145252396624e-05,7.290377765815304e-07
27,2.3604840327705156e-05,7.297832441785977e-07
28,2.3602020152885652e-05,7.302138383026464e-07
29,2.3607003326026587e-05,7.313947844353394e-07
30,2.3603932015936773e-05,7.318978252851805e-07
31,2.3602014720917968e-05,7.270757543455303e-07
32,2.3607007335938974e-05,7.274128933761928e-07
33,2.3621305328430893e-05,7.297690158857975e-07
34,2.362568439032965e-05,7.297125508077628e-07
35,2.3641525511292085e-05,7.31785176196332e-07
36,2.365393143721787e-05,7.337223971003168e-07
37,2.3660785033278394e-05,7.339984697550421e-07
38,2.3665230187458146e-05,7.340856542908035e-07
39,2.3671722334289216e-05,7.342309457070553e-07
40,2.366478394240896e-05,7.339008572023095e-07
41,2.3665831783525644e-05,7.333994356400912e-07
42,2.366884330891655e-05,7.338761738513407e-07
43,2.3683264026044568e-05,7.354399321704122e-07
44,2.3677030442174366e-05,7.357671267024311e-07
45,2.3670806190151385e-05,7.346997569739637e-07
46,2.3676077145939076e-05,7.351019141216271e-07
47,2.368065042928869e-05,7.353962609774525e-07
48,2.3683618498489393e-05,7.35426674670085e-07
